,dateRep,day,month,year,cases,deaths,country,continent
9504,2020-01-05,1,5,2020,604.0,212.0,France,Europe
3807,2020-01-05,1,5,2020,9.0,6.0,Croatia,Europe
21029,2020-01-05,1,5,2020,478.0,100.0,Netherlands,Europe
23907,2020-01-05,1,5,2020,244.0,17.0,Portugal,Europe
10510,2020-01-05,1,5,2020,918.0,48.0,Germany,Europe
1877,2020-01-05,1,5,2020,237.0,94.0,Belgium,Europe
6536,2020-01-05,1,5,2020,0.0,11.0,Denmark,Europe
17099,2020-01-06,1,6,2020,0.0,0.0,Liechtenstein,Europe
28610,2020-01-06,1,6,2020,648.0,39.0,Sweden,Europe
21968,2020-01-06,1,6,2020,7.0,0.0,Norway,Europe
16150,2020-01-06,1,6,2020,0.0,0.0,Latvia,Europe
27594,2020-01-06,1,6,2020,433.0,34.0,Spain,Europe
7477,2020-01-06,1,6,2020,0.0,0.0,Estonia,Europe
19063,2020-01-06,1,6,2020,1.0,0.0,Luxembourg,Europe
1846,2020-01-06,1,6,2020,59.0,21.0,Belgium,Europe
20038,2020-01-06,1,6,2020,1.0,0.0,Malta,Europe
11470,2020-01-06,1,6,2020,2.0,0.0,Greece,Europe
26726,2020-01-06,1,6,2020,2.0,1.0,Slovenia,Europe
3776,2020-01-06,1,6,2020,0.0,0.0,Croatia,Europe
23876,2020-01-06,1,6,2020,331.0,12.0,Portugal,Europe
13244,2020-01-06,1,6,2020,0.0,0.0,Iceland,Europe
4582,2020-01-06,1,6,2020,5.0,0.0,Cyprus,Europe
10479,2020-01-06,1,6,2020,136.0,5.0,Germany,Europe
18067,2020-01-06,1,6,2020,3.0,0.0,Lithuania,Europe
5543,2020-01-06,1,6,2020,34.0,2.0,Czechia,Europe
20998,2020-01-06,1,6,2020,104.0,6.0,Netherlands,Europe
24817,2020-01-06,1,6,2020,141.0,10.0,Romania,Europe
15175,2020-01-06,1,6,2020,178.0,60.0,Italy,Europe
6505,2020-01-06,1,6,2020,30.0,3.0,Denmark,Europe
9473,2020-01-06,1,6,2020,338.0,31.0,France,Europe
25763,2020-01-06,1,6,2020,0.0,0.0,Slovakia,Europe
8445,2020-01-06,1,6,2020,17.0,0.0,Finland,Europe
2814,2020-01-06,1,6,2020,19.0,4.0,Bulgaria,Europe
12444,2020-01-06,1,6,2020,16.0,1.0,Hungary,Europe
874,2020-01-06,1,6,2020,19.0,1.0,Austria,Europe
14207,2020-01-06,1,6,2020,72.0,20.0,Ireland,Europe
22949,2020-01-06,1,6,2020,379.0,10.0,Poland,Europe
4552,2020-01-07,1,7,2020,1.0,0.0,Cyprus,Europe
14177,2020-01-07,1,7,2020,4.0,2.0,Ireland,Europe
9443,2020-01-07,1,7,2020,918.0,18.0,France,Europe
11440,2020-01-07,1,7,2020,23.0,0.0,Greece,Europe
24787,2020-01-07,1,7,2020,326.0,16.0,Romania,Europe
12414,2020-01-07,1,7,2020,2.0,1.0,Hungary,Europe
16120,2020-01-07,1,7,2020,3.0,0.0,Latvia,Europe
23846,2020-01-07,1,7,2020,367.0,7.0,Portugal,Europe
27564,2020-01-07,1,7,2020,562.0,10.0,Spain,Europe
3746,2020-01-07,1,7,2020,54.0,1.0,Croatia,Europe
13214,2020-01-07,1,7,2020,2.0,0.0,Iceland,Europe
26696,2020-01-07,1,7,2020,21.0,0.0,Slovenia,Europe
8415,2020-01-07,1,7,2020,2.0,0.0,Finland,Europe
22919,2020-01-07,1,7,2020,382.0,14.0,Poland,Europe
15145,2020-01-07,1,7,2020,182.0,21.0,Italy,Europe
28580,2020-01-07,1,7,2020,685.0,15.0,Sweden,Europe
17069,2020-01-07,1,7,2020,0.0,0.0,Liechtenstein,Europe
1816,2020-01-07,1,7,2020,135.0,3.0,Belgium,Europe
6475,2020-01-07,1,7,2020,26.0,1.0,Denmark,Europe
10449,2020-01-07,1,7,2020,482.0,5.0,Germany,Europe
19033,2020-01-07,1,7,2020,50.0,0.0,Luxembourg,Europe
20008,2020-01-07,1,7,2020,1.0,0.0,Malta,Europe
20968,2020-01-07,1,7,2020,62.0,3.0,Netherlands,Europe
2784,2020-01-07,1,7,2020,165.0,7.0,Bulgaria,Europe
25733,2020-01-07,1,7,2020,13.0,0.0,Slovakia,Europe
18037,2020-01-07,1,7,2020,4.0,1.0,Lithuania,Europe
21938,2020-01-07,1,7,2020,8.0,0.0,Norway,Europe
5513,2020-01-07,1,7,2020,91.0,0.0,Czechia,Europe
844,2020-01-07,1,7,2020,95.0,1.0,Austria,Europe
7447,2020-01-07,1,7,2020,1.0,0.0,Estonia,Europe
20937,2020-01-08,1,8,2020,431.0,1.0,Netherlands,Europe
24756,2020-01-08,1,8,2020,1225.0,36.0,Romania,Europe
22888,2020-01-08,1,8,2020,658.0,5.0,Poland,Europe
15114,2020-01-08,1,8,2020,295.0,5.0,Italy,Europe
4521,2020-01-08,1,8,2020,10.0,0.0,Cyprus,Europe
8384,2020-01-08,1,8,2020,15.0,0.0,Finland,Europe
26665,2020-01-08,1,8,2020,9.0,0.0,Slovenia,Europe
25702,2020-01-08,1,8,2020,7.0,0.0,Slovakia,Europe
10418,2020-01-08,1,8,2020,562.0,1.0,Germany,Europe
12383,2020-01-08,1,8,2020,21.0,1.0,Hungary,Europe
2753,2020-01-08,1,8,2020,146.0,9.0,Bulgaria,Europe
6444,2020-01-08,1,8,2020,0.0,0.0,Denmark,Europe
14146,2020-01-08,1,8,2020,44.0,0.0,Ireland,Europe
1785,2020-01-08,1,8,2020,309.0,1.0,Belgium,Europe
5482,2020-01-08,1,8,2020,125.0,2.0,Czechia,Europe
18006,2020-01-08,1,8,2020,18.0,0.0,Lithuania,Europe
9412,2020-01-08,1,8,2020,1628.0,6.0,France,Europe
23815,2020-01-08,1,8,2020,136.0,1.0,Portugal,Europe
11409,2020-01-08,1,8,2020,110.0,0.0,Greece,Europe
21907,2020-01-08,1,8,2020,14.0,0.0,Norway,Europe
17038,2020-01-08,1,8,2020,0.0,0.0,Liechtenstein,Europe
7416,2020-01-08,1,8,2020,7.0,0.0,Estonia,Europe
13183,2020-01-08,1,8,2020,14.0,0.0,Iceland,Europe
28549,2020-01-08,1,8,2020,303.0,2.0,Sweden,Europe
19977,2020-01-08,1,8,2020,21.0,0.0,Malta,Europe
19002,2020-01-08,1,8,2020,48.0,1.0,Luxembourg,Europe
3715,2020-01-08,1,8,2020,86.0,0.0,Croatia,Europe
27533,2020-01-08,1,8,2020,3624.0,13.0,Spain,Europe
16089,2020-01-08,1,8,2020,7.0,0.0,Latvia,Europe
813,2020-01-08,1,8,2020,62.0,3.0,Austria,Europe
14115,2020-01-09,1,9,2020,214.0,0.0,Ireland,Europe
9381,2020-01-09,1,9,2020,4982.0,26.0,France,Europe
2722,2020-01-09,1,9,2020,188.0,16.0,Bulgaria,Europe
28518,2020-01-09,1,9,2020,171.0,3.0,Sweden,Europe
23784,2020-01-09,1,9,2020,352.0,3.0,Portugal,Europe
13152,2020-01-09,1,9,2020,5.0,0.0,Iceland,Europe
18971,2020-01-09,1,9,2020,48.0,0.0,Luxembourg,Europe
12352,2020-01-09,1,9,2020,118.0,1.0,Hungary,Europe
22857,2020-01-09,1,9,2020,550.0,19.0,Poland,Europe
4490,2020-01-09,1,9,2020,2.0,1.0,Cyprus,Europe
19946,2020-01-09,1,9,2020,26.0,0.0,Malta,Europe
10387,2020-01-09,1,9,2020,1323.0,3.0,Germany,Europe
6413,2020-01-09,1,9,2020,99.0,0.0,Denmark,Europe
782,2020-01-09,1,9,2020,286.0,2.0,Austria,Europe
3684,2020-01-09,1,9,2020,145.0,1.0,Croatia,Europe
20906,2020-01-09,1,9,2020,467.0,6.0,Netherlands,Europe
24725,2020-01-09,1,9,2020,1053.0,60.0,Romania,Europe
27502,2020-01-09,1,9,2020,11473.0,67.0,Spain,Europe
8353,2020-01-09,1,9,2020,29.0,1.0,Finland,Europe
1754,2020-01-09,1,9,2020,565.0,3.0,Belgium,Europe
26634,2020-01-09,1,9,2020,55.0,0.0,Slovenia,Europe
25671,2020-01-09,1,9,2020,53.0,0.0,Slovakia,Europe
16058,2020-01-09,1,9,2020,8.0,0.0,Latvia,Europe
7385,2020-01-09,1,9,2020,20.0,0.0,Estonia,Europe
17975,2020-01-09,1,9,2020,31.0,0.0,Lithuania,Europe
11378,2020-01-09,1,9,2020,207.0,0.0,Greece,Europe
5451,2020-01-09,1,9,2020,497.0,1.0,Czechia,Europe
